order_id,order_item_id,order_date,status,payment_method,customer_id,first_name,last_name,email,country,store_id,store_name,city,region,channel,product_id,sku,product_name,category,brand,quantity,unit_cost,unit_price,discount_rate,discount_amount,net_sales,profit,shipping_fee,order_total
15,23,2024-08-25 20:25:00,Delivered,Google Pay,191,Aisha,Evans,aisha.evans9369@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1037,SKU-1037,PureGlow Face Wash 1,Beauty,PureGlow,1,104.85,156.56,0.0,0.0,156.56,51.71,0.0,176.45
16,24,2025-04-05 17:27:00,Delivered,Apple Pay,220,Freya,Turner,freya.turner804@email.com,Ireland,1,London Retail Store,London,South,Store,1011,SKU-1011,NovaTech Wireless Mouse 1,Electronics,NovaTech,1,88.38,156.14,0.0,0.0,156.14,67.76,0.0,500.74
16,25,2025-04-05 17:27:00,Delivered,Apple Pay,220,Freya,Turner,freya.turner804@email.com,Ireland,1,London Retail Store,London,South,Store,1059,SKU-1059,Endura Gym Bag 1,Sports,Endura,3,10.09,20.05,0.0,0.0,60.15,29.88,0.0,500.74
16,26,2025-04-05 17:27:00,Delivered,Apple Pay,220,Freya,Turner,freya.turner804@email.com,Ireland,1,London Retail Store,London,South,Store,1008,SKU-1008,Voltix Phone Charger 2,Electronics,Voltix,5,42.81,56.89,0.0,0.0,284.45,70.4,0.0,500.74
17,27,2025-12-21 20:50:00,Delivered,PayPal,105,Jack,Hall,jack.hall3979@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1059,SKU-1059,Endura Gym Bag 1,Sports,Endura,1,10.09,20.05,0.05,1.0,19.05,8.96,0.0,19.05
18,28,2025-05-16 16:40:00,Delivered,Google Pay,398,Mia,Scott,mia.scott6335@email.com,United Kingdom,7,Bristol Retail Store,Bristol,South West,Store,1043,SKU-1043,PureGlow Conditioner 1,Beauty,PureGlow,5,117.42,206.97,0.1,103.48,931.37,344.27,0.0,931.37
19,29,2024-10-31 17:37:00,Delivered,Card,138,Oliver,Thomas,oliver.thomas7828@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1046,SKU-1046,Botaniq Body Lotion 2,Beauty,Botaniq,1,115.83,256.94,0.15,38.54,218.4,102.57,0.0,218.4
20,30,2024-11-08 09:11:00,Delivered,Google Pay,145,Thomas,Hall,thomas.hall987@email.com,Ireland,1,London Retail Store,London,South,Store,1026,SKU-1026,Aero T-Shirt 2,Fashion,Aero,4,90.4,148.5,0.1,59.4,534.6,173.0,0.0,534.6
21,31,2025-08-11 14:27:00,Shipped,PayPal,551,Isla,Edwards,isla.edwards2087@email.com,United Kingdom,9,Online Store,Online,National,Online,1027,SKU-1027,Crafted Hoodie 1,Fashion,Crafted,1,45.35,104.17,0.15,15.63,88.54,43.19,2.99,414.42
21,32,2025-08-11 14:27:00,Shipped,PayPal,551,Isla,Edwards,isla.edwards2087@email.com,United Kingdom,9,Online Store,Online,National,Online,1057,SKU-1057,Core Running Bottle 1,Sports,Core,2,44.45,72.13,0.1,14.43,129.83,40.93,2.99,414.42
21,33,2025-08-11 14:27:00,Shipped,PayPal,551,Isla,Edwards,isla.edwards2087@email.com,United Kingdom,9,Online Store,Online,National,Online,1050,SKU-1050,Endura Yoga Mat 2,Sports,Endura,2,71.83,101.61,0.05,10.16,193.06,49.4,2.99,414.42
22,34,2024-10-22 10:11:00,Delivered,Card,462,Ava,Williams,ava.williams4334@email.com,United Kingdom,5,Glasgow Retail Store,Glasgow,Scotland,Store,1015,SKU-1015,CasaNest Kettle 1,Home,CasaNest,1,103.07,221.24,0.0,0.0,221.24,118.17,0.0,325.41
22,35,2024-10-22 10:11:00,Delivered,Card,462,Ava,Williams,ava.williams4334@email.com,United Kingdom,5,Glasgow Retail Store,Glasgow,Scotland,Store,1027,SKU-1027,Crafted Hoodie 1,Fashion,Crafted,1,45.35,104.17,0.0,0.0,104.17,58.82,0.0,325.41
23,36,2025-01-02 08:31:00,Delivered,Gift Card,394,Sophia,Thomas,sophia.thomas600@email.com,United Kingdom,1,London Retail Store,London,South,Store,1070,SKU-1070,Roast & Bean Sparkling Water 2,Grocery,Roast & Bean,1,52.49,118.15,0.0,0.0,118.15,65.66,0.0,118.15
24,37,2025-05-21 14:43:00,Delivered,PayPal,455,Bilal,Johnson,bilal.johnson9465@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1035,SKU-1035,Aero Socks Pack 1,Fashion,Aero,1,53.87,90.06,0.0,0.0,90.06,36.19,0.0,90.06
25,38,2024-10-26 08:17:00,Delivered,Google Pay,296,Muhammad,White,muhammad.white6948@email.com,United Kingdom,8,Sheffield Retail Store,Sheffield,Yorkshire,Store,1069,SKU-1069,Roast & Bean Sparkling Water 1,Grocery,Roast & Bean,2,111.4,228.69,0.0,0.0,457.38,234.58,0.0,457.38
26,39,2025-05-22 16:32:00,Delivered,Gift Card,117,Sophia,Turner,sophia.turner5326@email.com,United Kingdom,9,Online Store,Online,National,Online,1033,SKU-1033,UrbanThread Jacket 1,Fashion,UrbanThread,1,82.59,105.86,0.25,26.46,79.4,-3.19,3.99,83.39
27,40,2024-02-12 20:46:00,Delivered,Card,224,Layla,Young,layla.young2241@email.com,United Kingdom,7,Bristol Retail Store,Bristol,South West,Store,1010,SKU-1010,Echo Tablet Stand 2,Electronics,Echo,1,102.16,188.41,0.0,0.0,188.41,86.25,0.0,326.71
27,41,2024-02-12 20:46:00,Delivered,Card,224,Layla,Young,layla.young2241@email.com,United Kingdom,7,Bristol Retail Store,Bristol,South West,Store,1013,SKU-1013,Oak & Co Air Fryer 1,Home,Oak & Co,1,70.55,138.3,0.0,0.0,138.3,67.75,0.0,326.71
28,42,2025-10-31 20:15:00,Delivered,Apple Pay,34,Leo,Johnson,leo.johnson6746@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1034,SKU-1034,Aero Jacket 2,Fashion,Aero,1,92.93,143.22,0.0,0.0,143.22,50.29,0.0,143.22
29,43,2025-12-06 13:55:00,Delivered,PayPal,648,James,Wright,james.wright5444@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1006,SKU-1006,Voltix Smart Watch 2,Electronics,Voltix,2,28.79,52.62,0.15,15.79,89.45,31.87,0.0,138.47
29,44,2025-12-06 13:55:00,Delivered,PayPal,648,James,Wright,james.wright5444@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1002,SKU-1002,Pulse Headphones 2,Electronics,Pulse,2,19.33,24.51,0.0,0.0,49.02,10.36,0.0,138.47
30,45,2024-07-30 20:03:00,Delivered,Gift Card,546,Thomas,Thompson,thomas.thompson2949@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1041,SKU-1041,Luma Shampoo 1,Beauty,Luma,1,31.02,44.27,0.0,0.0,44.27,13.25,0.0,44.27
31,46,2024-06-21 13:45:00,Delivered,Gift Card,587,Hassan,Lewis,hassan.lewis7693@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1043,SKU-1043,PureGlow Conditioner 1,Beauty,PureGlow,1,117.42,206.97,0.1,20.7,186.27,68.85,0.0,186.27
32,47,2025-11-26 21:06:00,Delivered,Apple Pay,422,Lily,Green,lily.green4758@email.com,United Kingdom,9,Online Store,Online,National,Online,1043,SKU-1043,PureGlow Conditioner 1,Beauty,PureGlow,1,117.42,206.97,0.0,0.0,206.97,89.55,2.99,209.96
33,48,2025-05-16 10:36:00,Delivered,Google Pay,643,Thomas,Thomas,thomas.thomas8080@email.com,United Kingdom,6,Liverpool Retail Store,Liverpool,North West,Store,1036,SKU-1036,Aero Socks Pack 2,Fashion,Aero,1,116.71,236.48,0.0,0.0,236.48,119.77,0.0,901.09
33,49,2025-05-16 10:36:00,Delivered,Google Pay,643,Thomas,Thomas,thomas.thomas8080@email.com,United Kingdom,6,Liverpool Retail Store,Liverpool,North West,Store,1066,SKU-1066,DailyTable Pasta 2,Grocery,DailyTable,1,22.46,38.37,0.0,0.0,38.37,15.91,0.0,901.09
33,50,2025-05-16 10:36:00,Delivered,Google Pay,643,Thomas,Thomas,thomas.thomas8080@email.com,United Kingdom,6,Liverpool Retail Store,Liverpool,North West,Store,1037,SKU-1037,PureGlow Face Wash 1,Beauty,PureGlow,4,104.85,156.56,0.0,0.0,626.24,206.84,0.0,901.09
34,51,2025-12-12 13:29:00,Delivered,Card,336,Isla,Thompson,isla.thompson5544@email.com,United Kingdom,9,Online Store,Online,National,Online,1061,SKU-1061,Kitchen Pantry Coffee Beans 1,Grocery,Kitchen Pantry,4,19.4,26.4,0.0,0.0,105.6,28.0,0.0,525.96
34,52,2025-12-12 13:29:00,Delivered,Card,336,Isla,Thompson,isla.thompson5544@email.com,United Kingdom,9,Online Store,Online,National,Online,1015,SKU-1015,CasaNest Kettle 1,Home,CasaNest,2,103.07,221.24,0.05,22.12,420.36,214.22,0.0,525.96
35,53,2024-03-05 20:34:00,Delivered,Google Pay,440,Noah,Patel,noah.patel9915@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1017,SKU-1017,Oak & Co Storage Box 1,Home,Oak & Co,1,22.03,34.34,0.1,3.43,30.91,8.88,0.0,30.91
36,54,2024-11-26 21:18:00,Delivered,Gift Card,592,Amelia,Evans,amelia.evans6224@email.com,United Kingdom,5,Glasgow Retail Store,Glasgow,Scotland,Store,1059,SKU-1059,Endura Gym Bag 1,Sports,Endura,1,10.09,20.05,0.0,0.0,20.05,9.96,0.0,20.05
37,55,2024-12-17 18:48:00,Delivered,Google Pay,102,Harry,Young,harry.young2684@email.com,United Kingdom,9,Online Store,Online,National,Online,1042,SKU-1042,PureGlow Shampoo 2,Beauty,PureGlow,1,13.02,22.25,0.1,2.23,20.02,7.0,2.99,23.01
38,56,2025-04-12 08:27:00,Shipped,Apple Pay,136,Sophia,Brown,sophia.brown201@email.com,United Kingdom,6,Liverpool Retail Store,Liverpool,North West,Store,1064,SKU-1064,Harvest Protein Bars 2,Grocery,Harvest,2,8.92,20.51,0.1,4.1,36.92,19.08,0.0,67.99
38,57,2025-04-12 08:27:00,Shipped,Apple Pay,136,Sophia,Brown,sophia.brown201@email.com,United Kingdom,6,Liverpool Retail Store,Liverpool,North West,Store,1054,SKU-1054,Core Football 2,Sports,Core,1,28.07,36.55,0.15,5.48,31.07,3.0,0.0,67.99
39,58,2024-10-07 09:41:00,Delivered,PayPal,85,Layla,Green,layla.green9884@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1035,SKU-1035,Aero Socks Pack 1,Fashion,Aero,1,53.87,90.06,0.1,9.01,81.05,27.18,0.0,139.96
39,59,2024-10-07 09:41:00,Delivered,PayPal,85,Layla,Green,layla.green9884@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1028,SKU-1028,Northline Hoodie 2,Fashion,Northline,1,62.61,78.55,0.25,19.64,58.91,-3.7,0.0,139.96
40,60,2024-08-27 14:41:00,Delivered,PayPal,98,Bilal,Smith,bilal.smith2497@email.com,United Kingdom,9,Online Store,Online,National,Online,1053,SKU-1053,Sprint Football 1,Sports,Sprint,1,11.29,16.07,0.05,0.8,15.27,3.98,4.99,124.43
40,61,2024-08-27 14:41:00,Delivered,PayPal,98,Bilal,Smith,bilal.smith2497@email.com,United Kingdom,9,Online Store,Online,National,Online,1027,SKU-1027,Crafted Hoodie 1,Fashion,Crafted,1,45.35,104.17,0.0,0.0,104.17,58.82,4.99,124.43
41,62,2024-05-15 17:14:00,Delivered,Card,456,Charlie,Young,charlie.young2611@email.com,United Kingdom,6,Liverpool Retail Store,Liverpool,North West,Store,1001,SKU-1001,NovaTech Headphones 1,Electronics,NovaTech,1,5.93,8.7,0.1,0.87,7.83,1.9,0.0,465.07
41,63,2024-05-15 17:14:00,Delivered,Card,456,Charlie,Young,charlie.young2611@email.com,United Kingdom,6,Liverpool Retail Store,Liverpool,North West,Store,1050,SKU-1050,Endura Yoga Mat 2,Sports,Endura,5,71.83,101.61,0.1,50.81,457.24,98.09,0.0,465.07
42,64,2025-03-08 19:08:00,Delivered,Card,235,Lily,Brown,lily.brown7452@email.com,United Kingdom,7,Bristol Retail Store,Bristol,South West,Store,1071,SKU-1071,Kitchen Pantry Chocolate Box 1,Grocery,Kitchen Pantry,1,21.11,31.48,0.0,0.0,31.48,10.37,0.0,31.48
43,65,2024-04-14 09:20:00,Delivered,Google Pay,307,Maya,Lewis,maya.lewis694@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1065,SKU-1065,Harvest Pasta 1,Grocery,Harvest,3,116.37,257.8,0.0,0.0,773.4,424.29,0.0,897.43
43,66,2024-04-14 09:20:00,Delivered,Google Pay,307,Maya,Lewis,maya.lewis694@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1052,SKU-1052,Endura Dumbbells 2,Sports,Endura,2,29.79,65.28,0.05,6.53,124.03,64.45,0.0,897.43
44,67,2024-05-16 18:43:00,Delivered,Card,544,Oliver,Thompson,oliver.thompson5645@email.com,United Kingdom,1,London Retail Store,London,South,Store,1030,SKU-1030,Northline Jeans 2,Fashion,Northline,2,95.67,156.47,0.1,31.29,281.65,90.31,0.0,281.65
45,68,2025-10-27 10:28:00,Delivered,PayPal,219,Thomas,Smith,thomas.smith6485@email.com,United Kingdom,9,Online Store,Online,National,Online,1030,SKU-1030,Northline Jeans 2,Fashion,Northline,1,95.67,156.47,0.0,0.0,156.47,60.8,4.99,1126.78
45,69,2025-10-27 10:28:00,Delivered,PayPal,219,Thomas,Smith,thomas.smith6485@email.com,United Kingdom,9,Online Store,Online,National,Online,1040,SKU-1040,PureGlow Moisturiser 2,Beauty,PureGlow,4,111.7,241.33,0.0,0.0,965.32,518.52,4.99,1126.78
46,70,2025-12-04 15:55:00,Delivered,Card,103,Freya,Smith,freya.smith5112@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1068,SKU-1068,DailyTable Olive Oil 2,Grocery,DailyTable,4,47.34,108.08,0.0,0.0,432.32,242.96,0.0,984.22
46,71,2025-12-04 15:55:00,Delivered,Card,103,Freya,Smith,freya.smith5112@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1024,SKU-1024,Oak & Co Throw Blanket 2,Home,Oak & Co,2,27.88,48.07,0.0,0.0,96.14,40.38,0.0,984.22
46,72,2025-12-04 15:55:00,Delivered,Card,103,Freya,Smith,freya.smith5112@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1067,SKU-1067,DailyTable Olive Oil 1,Grocery,DailyTable,2,104.16,227.88,0.0,0.0,455.76,247.44,0.0,984.22
47,73,2024-05-23 11:17:00,Delivered,Gift Card,255,George,King,george.king9765@email.com,United Kingdom,9,Online Store,Online,National,Online,1012,SKU-1012,Voltix Wireless Mouse 2,Electronics,Voltix,1,12.22,18.17,0.0,0.0,18.17,5.95,3.99,22.16
48,74,2025-12-08 08:54:00,Delivered,Gift Card,309,Ava,Hall,ava.hall6627@email.com,United Kingdom,4,Leeds Retail Store,Leeds,Yorkshire,Store,1069,SKU-1069,Roast & Bean Sparkling Water 1,Grocery,Roast & Bean,2,111.4,228.69,0.05,22.87,434.51,211.71,0.0,434.51
49,75,2025-02-05 12:41:00,Delivered,Google Pay,246,Harry,Baker,harry.baker8018@email.com,United Kingdom,1,London Retail Store,London,South,Store,1063,SKU-1063,Kitchen Pantry Protein Bars 1,Grocery,Kitchen Pantry,3,97.54,208.19,0.03,18.74,605.83,313.21,0.0,605.83
50,76,2024-09-03 15:40:00,Delivered,Apple Pay,541,Freya,Jones,freya.jones9156@email.com,United Kingdom,7,Bristol Retail Store,Bristol,South West,Store,1057,SKU-1057,Core Running Bottle 1,Sports,Core,2,44.45,72.13,0.05,7.21,137.05,48.15,0.0,293.19
50,77,2024-09-03 15:40:00,Delivered,Apple Pay,541,Freya,Jones,freya.jones9156@email.com,United Kingdom,7,Bristol Retail Store,Bristol,South West,Store,1011,SKU-1011,NovaTech Wireless Mouse 1,Electronics,NovaTech,1,88.38,156.14,0.0,0.0,156.14,67.76,0.0,293.19
51,78,2024-11-20 10:24:00,Delivered,Apple Pay,583,Emily,Clark,emily.clark3351@email.com,United Kingdom,1,London Retail Store,London,South,Store,1061,SKU-1061,Kitchen Pantry Coffee Beans 1,Grocery,Kitchen Pantry,1,19.4,26.4,0.0,0.0,26.4,7.0,0.0,183.47
51,79,2024-11-20 10:24:00,Delivered,Apple Pay,583,Emily,Clark,emily.clark3351@email.com,United Kingdom,1,London Retail Store,London,South,Store,1020,SKU-1020,NorthHome Desk Lamp 2,Home,NorthHome,1,22.12,35.09,0.1,3.51,31.58,9.46,0.0,183.47
51,80,2024-11-20 10:24:00,Delivered,Apple Pay,583,Emily,Clark,emily.clark3351@email.com,United Kingdom,1,London Retail Store,London,South,Store,1072,SKU-1072,Harvest Chocolate Box 2,Grocery,Harvest,1,70.76,125.49,0.0,0.0,125.49,54.73,0.0,183.47
52,81,2024-03-15 08:37:00,Delivered,Card,269,Amelia,Wright,amelia.wright9788@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1026,SKU-1026,Aero T-Shirt 2,Fashion,Aero,1,90.4,148.5,0.0,0.0,148.5,58.1,0.0,148.5
53,82,2024-03-02 20:25:00,Shipped,Gift Card,644,Noah,Thompson,noah.thompson4522@email.com,United Kingdom,5,Glasgow Retail Store,Glasgow,Scotland,Store,1071,SKU-1071,Kitchen Pantry Chocolate Box 1,Grocery,Kitchen Pantry,5,21.11,31.48,0.0,0.0,157.4,51.85,0.0,157.4
54,83,2025-03-01 14:44:00,Delivered,Gift Card,550,Maya,Walker,maya.walker1944@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1040,SKU-1040,PureGlow Moisturiser 2,Beauty,PureGlow,4,111.7,241.33,0.1,96.53,868.79,421.99,0.0,1097.48
54,84,2025-03-01 14:44:00,Delivered,Gift Card,550,Maya,Walker,maya.walker1944@email.com,United Kingdom,2,Manchester Retail Store,Manchester,North West,Store,1069,SKU-1069,Roast & Bean Sparkling Water 1,Grocery,Roast & Bean,1,111.4,228.69,0.0,0.0,228.69,117.29,0.0,1097.48
55,85,2024-10-11 09:19:00,Delivered,Gift Card,209,Freya,Patel,freya.patel2951@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1060,SKU-1060,Endura Gym Bag 2,Sports,Endura,1,32.09,43.92,0.15,6.59,37.33,5.24,0.0,254.47
55,86,2024-10-11 09:19:00,Delivered,Gift Card,209,Freya,Patel,freya.patel2951@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1038,SKU-1038,Velora Face Wash 2,Beauty,Velora,3,20.88,42.32,0.05,6.35,120.61,57.97,0.0,254.47
55,87,2024-10-11 09:19:00,Delivered,Gift Card,209,Freya,Patel,freya.patel2951@email.com,United Kingdom,3,Birmingham Retail Store,Birmingham,West Midlands,Store,1050,SKU-1050,Endura Yoga Mat 2,Sports,Endura,1,71.83,101.61,0.05,5.08,96.53,24.7,0.0,254.47
56,88,2025-10-27 18:41:00,Returned,PayPal,448,Ava,Hughes,ava.hughes7610@email.com,United Kingdom,9,Online Store,Online,National,Online,1056,SKU-1056,Core Resistance Bands 2,Sports,Core,2,25.28,31.89,0.0,0.0,-63.78,-114.34,0.0,-63.78
57,89,2024-03-29 14:07:00,Delivered,Apple Pay,624,Layla,Taylor,layla.taylor8205@email.com,United Kingdom,8,Sheffield Retail Store,Sheffield,Yorkshire,Store,1059,SKU-1059,Endura Gym Bag 1,Sports,Endura,2,10.09,20.05,0.0,0.0,40.1,19.92,0.0,40.1
58,90,2025-11-04 19:11:00,Shipped,Card,141,Thomas,Taylor,thomas.taylor4067@email.com,United Kingdom,9,Online Store,Online,National,Online,1010,SKU-1010,Echo Tablet Stand 2,Electronics,Echo,1,102.16,188.41,0.05,9.42,178.99,76.83,3.99,201.15
58,91,2025-11-04 19:11:00,Shipped,Card,141,Thomas,Taylor,thomas.taylor4067@email.com,United Kingdom,9,Online Store,Online,National,Online,1012,SKU-1012,Voltix Wireless Mouse 2,Electronics,Voltix,1,12.22,18.17,0.0,0.0,18.17,5.95,3.99,201.15
59,92,2024-10-02 19:56:00,Delivered,Google Pay,31,Lily,Scott,lily.scott6659@email.com,Ireland,2,Manchester Retail Store,Manchester,North West,Store,1021,SKU-1021,NorthHome Bedding Set 1,Home,NorthHome,2,83.1,176.11,0.2,70.44,281.78,115.58,0.0,408.01
59,93,2024-10-02 19:56:00,Delivered,Google Pay,31,Lily,Scott,lily.scott6659@email.com,Ireland,2,Manchester Retail Store,Manchester,North West,Store,1026,SKU-1026,Aero T-Shirt 2,Fashion,Aero,1,90.4,148.5,0.15,22.27,126.23,35.83,0.0,408.01
60,94,2025-08-13 18:04:00,Delivered,Card,524,Layla,Hall,layla.hall188@email.com,United Kingdom,7,Bristol Retail Store,Bristol,South West,Store,1010,SKU-1010,Echo Tablet Stand 2,Electronics,Echo,1,102.16,188.41,0.0,0.0,188.41,86.25,0.0,188.41
